"Timestamp","학년","불안한 부분","앱 알게된 방법","대부분 과목의 목표 성과","앱 효과","디자인 평가","레이아웃 평가","불편한 점"
"2023/11/23 7:48:15 PM GMT+9","중2","기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",","
"2023/11/23 10:02:37 PM GMT+9","중3","기말고사가 불안하다","SNS;","B;C","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다","ㅇ"
"2023/11/24 9:40:45 AM GMT+9","학부모","기말고사가 불안하다","부모님","A","계산력 저하","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/24 1:23:33 PM GMT+9","중2","중간고사 점수가 낮다;기말고사가 불안하다","검색;SNS","A;B","별로 효과 없다","디자인 괜찮다","레이아웃 괜찮다","없음"
"2023/11/24 3:27:57 PM GMT+9","중2","중간고사 점수가 낮다;기말고사가 불안하다","SNS","A;B","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","없다"
"2023/11/24 3:41:48 PM GMT+9","중2","수행평가 점수가 낮다;중간고사 점수가 낮다","검색","A","명확한 목표를 세울 수 있다","버튼, 박스 등이 마음에 들지 않는다","레이아웃 괜찮다",""
"2023/11/24 5:30:05 PM GMT+9","중3","기말고사가 불안하다","검색;SNS;","A","별로 효과 없다","디자인 괜찮다;색깔이 마음에 들지 않는다;앱 로고가 마음에 들지 않는다","레이아웃 괜찮다",""
"2023/11/24 8:58:13 PM GMT+9","중2","기말고사가 불안하다","검색","A","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/25 8:08:29 AM GMT+9","중2","기말고사가 불안하다","스스로 찾아 봤다","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","없습니다"
"2023/11/25 2:24:39 PM GMT+9","중2","수행평가 점수가 낮다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
